Player,Team,_League,Age,Passport country,Foot,Minutes played,Market value,Six Score,Progressive passes per 90,"Accurate passes, %",Interceptions per 90,PAdj Interceptions,Successful defensive actions per 90,"Defensive duels won, %","Aerial duels won, %"
A. Garly,HIK,Denmark III,23.0,Denmark,,2116,0,83.25,5.87,84.56,5.02,5.51,12.21,68.0,36.59
M. Villota,Pärnu JK Vaprus,Estonia,20.0,Estonia,,565,0,82.54,7.49,76.87,6.85,8.32,13.06,58.21,11.11
H. Urnes,Hødd,Norway II,23.0,Norway,unknown,660,0,81.29,5.86,82.56,8.73,11.23,13.23,52.08,71.43
A. Wikman,Silkeborg,Denmark,22.0,Sweden,left,1014,350000,80.97,7.81,88.32,4.17,4.17,9.76,64.52,12.5
T. Egholm,Vanløse,Denmark IV,23.0,Denmark,unknown,1372,0,79.94,6.3,79.17,5.44,6.21,10.23,72.34,41.27
A. Gibiec,Rekord Bielsko-Biała,Poland III,20.0,Poland,,741,0,79.49,5.59,82.02,6.07,7.77,12.02,61.11,58.33
B. Szczepankiewicz,Sokół Kleczew,Poland III,19.0,Poland,,630,0,76.82,3.86,84.62,4.86,6.67,10.57,70.91,80.0
M. Larsson,Eskilsminne,Sweden III,21.0,Sweden,,819,0,75.84,4.62,81.07,5.38,7.58,10.99,70.59,46.88
D. Cukici,KäPa,Finland II,23.0,Finland,unknown,529,25000,75.73,7.15,84.18,4.59,5.36,9.02,60.53,50.0
J. Jezierski,Sigma Olomouc,Poland II,21.0,Poland,,930,0,75.34,6.97,86.02,4.65,7.38,8.9,52.86,51.72
N. Solberg,Kvik Halden,Norway III,23.0,Norway,unknown,576,0,74.54,6.25,70.93,5.16,5.96,9.38,69.44,83.33
J. Chodera,Śląsk Wrocław II,Poland III,19.0,Poland,,1286,0,74.46,5.67,82.14,5.32,7.24,10.08,63.74,44.74
E. Torppa,Vasalund,Sweden III,21.0,Sweden,,787,0,74.28,4.0,88.53,4.12,5.68,12.92,76.77,41.67
A. Boström,SJK,Finland,20.0,Finland,right,423,0,73.83,8.3,83.82,4.47,6.77,8.3,46.88,75.0
D. Lagerlöf,Ljungskile,Sweden II,22.0,Sweden,,796,0,72.11,8.37,86.14,4.07,6.17,6.9,58.14,66.67
R. Valdmets,Flora,Estonia,18.0,Estonia,right,416,0,71.77,3.68,80.92,5.84,8.02,12.76,82.86,36.36
T. Róbertsson,FH,Iceland,22.0,Iceland,,619,25000,70.15,8.72,69.38,4.36,4.84,10.18,61.9,50.0
S. Andersen,Häcken,Sweden,21.0,Denmark,right,778,400000,70.07,7.75,85.19,4.05,5.38,9.14,60.0,36.36
D. Kantužer,Radomlje,Slovenia II,22.0,Slovenia,unknown,1414,0,68.09,7.0,81.79,4.01,5.15,10.12,60.69,58.14
J. Kilo,ADO Den Haag,Netherlands II,23.0,Finland,right,3339,100000,67.88,10.11,89.96,3.48,5.36,6.79,60.0,47.89
Z. Nsoni,Sandnes Ulf,Denmark III,23.0,"Congo, Denmark",right,1276,0,67.64,3.53,88.79,5.36,5.52,12.06,58.82,73.08
M. Trdan,Lokomotiv Plovdiv,Bulgaria,21.0,Slovenia,right,573,0,66.63,6.54,83.41,4.62,6.26,8.85,61.29,45.45
L. Palmula,Klubi-04,Finland II,18.0,Finland,unknown,775,0,65.39,6.15,86.68,4.99,6.39,8.25,60.0,30.0
A. Álvarez Pérez,Landskrona,Sweden II,21.0,"Sweden, Chile",right,718,0,62.69,6.64,92.25,4.14,5.82,7.52,48.08,75.0
J. Kilden Grøn,Odder,Denmark IV,23.0,Denmark,right,1424,0,62.24,6.57,90.96,3.79,5.13,7.33,61.33,52.94
A. Pogačar,Radomlje,Slovenia,23.0,Slovenia,right,2829,50000,61.87,4.68,93.35,3.5,4.78,10.21,66.17,38.98
A. Katun Ibrahim,Lyseng,Denmark IV,19.0,Denmark,unknown,761,0,61.18,4.73,80.08,5.09,5.81,11.0,67.12,46.67
O. Solnørdal,Stabæk,Norway II,23.0,Norway,left,861,0,61.07,4.91,87.95,4.6,6.32,9.3,61.43,21.43
L. Michelbrink,Energie Cottbus,Germany III,21.0,"Lithuania, Germany",right,2217,150000,60.41,6.62,82.66,4.83,6.97,8.85,56.57,30.43
P. Mentu,HJK,Finland,19.0,Finland,unknown,579,0,58.16,8.08,87.0,2.02,2.79,5.75,75.0,75.0
F. Krawczyk,Stará Ľubovňa,Slovakia II,19.0,Poland,,1789,0,57.45,5.23,77.54,5.89,7.85,11.67,58.05,41.82
V. Mølgaard Eskildsen,Nykøbing,Denmark IV,20.0,Denmark,,1642,0,56.58,6.25,86.28,4.33,5.67,8.17,57.39,50.0
L. Pedersen,Randers,Denmark,20.0,Denmark,right,1799,0,54.14,5.95,85.04,3.95,4.52,10.46,62.83,39.53
H. Larsson,Eintracht Frankfurt,Germany,21.0,Sweden,right,1968,0,53.64,6.68,87.39,3.8,5.35,5.99,63.77,50.0
G. Granström,Brage,Sweden II,20.0,Sweden,right,715,0,52.73,4.53,89.38,3.65,5.12,8.94,66.67,46.67
D. Kristjansson,Fredericia,Denmark,20.0,Iceland,left,1054,0,51.87,6.75,85.53,4.1,4.51,8.37,56.1,50.0
E. Naustdal,Ullensaker / Kisa,Norway III,20.0,Norway,right,530,0,51.79,8.49,87.8,3.57,4.23,7.81,47.37,50.0
F. Stensland,Skeid,Norway III,21.0,Norway,right,535,0,50.75,5.38,86.05,4.37,4.91,8.41,60.0,46.15
I. Holmen,Levanger,Norway III,18.0,Norway,unknown,446,0,50.49,5.65,81.82,5.04,5.21,9.28,62.96,40.0
E. Gigovic,Helsingborg,Sweden II,22.0,Sweden,right,740,0,49.43,9.12,83.6,3.77,5.31,6.45,51.22,52.94
A. Zabukovnik,Bistrica,Slovenia II,20.0,Slovenia,,904,0,49.35,7.57,77.84,2.99,3.78,10.65,59.02,63.33
R. Marcus,Moss,Denmark III,22.0,Denmark,right,584,0,47.92,6.47,79.79,4.47,5.34,9.09,56.6,37.5
M. Oyedele,Strasbourg,France,21.0,"England, Poland",right,492,0,47.26,5.49,87.86,2.93,4.57,6.95,71.43,53.33
A. Sveistrys,Riteriai,Lithuania,23.0,Lithuania,right,914,0,46.6,6.99,71.43,3.74,4.51,9.45,64.2,40.91
B. Brynjólfsson,Thór,Iceland,22.0,Iceland,right,404,75000,46.04,5.12,73.43,4.68,5.89,12.25,62.0,30.77
J. Lundström,Vasalund,Sweden III,21.0,Sweden,unknown,525,0,45.06,5.49,84.19,4.11,5.33,9.09,57.14,45.45
A. Jelovica,Beltinci,Slovenia II,21.0,Slovenia,,2415,0,44.54,6.22,79.35,3.24,4.92,9.58,64.41,43.75
T. Blidegn,B.93,Denmark II,21.0,Denmark,right,1096,0,44.27,5.42,82.44,5.01,6.58,8.95,48.91,40.91
K. Duda,Wisła Kraków,Poland II,22.0,Poland,right,2338,600000,43.61,5.93,84.14,3.12,5.46,7.81,66.67,36.73
B. Selan,Cracovia Kraków,Slovenia,21.0,Slovenia,right,1596,0,43.05,5.7,82.08,4.85,5.04,8.4,63.0,38.6
D. Andreas,Kuressaare,Estonia,23.0,Estonia,,1243,0,40.22,7.82,68.75,4.05,4.44,9.2,59.26,38.46
K. Serafin,Lørenskog,Norway III,22.0,Norway,unknown,592,0,39.38,5.32,78.41,4.41,6.17,7.6,60.61,70.0
O. Balsløv,Nykøbing,Denmark IV,19.0,Denmark,,1102,0,38.34,6.29,86.25,3.35,4.64,6.86,60.32,57.14
H. Bladh-Pijaca,Öster,Sweden II,20.0,"Sweden, Croatia",right,698,0,38.0,6.7,88.21,3.48,4.94,7.09,41.07,50.0
L. Ikonen,TPS,Finland,23.0,"United States, Finland",right,420,25000,37.55,4.07,86.81,5.57,7.09,7.93,44.0,42.86
L. Vapne,Sogndal,Norway II,22.0,Latvia,right,747,225000,37.28,7.23,73.33,4.22,4.51,7.59,62.22,33.33
T. Čandić,Tabor Sežana,Slovenia II,23.0,"Bosnia and Herzegovina, Slovenia",right,2095,0,37.21,6.1,86.6,2.88,4.38,6.96,67.41,37.84
M. Karlsson,Hammarby,Sweden,22.0,Sweden,right,961,0,34.96,5.81,90.4,2.81,4.35,6.65,63.33,42.86
M. Sznaucner,PAOK B,Greece II,20.0,"Greece, Poland",left,509,0,34.24,4.6,83.33,3.01,4.77,9.72,65.0,50.0
J. Biegański,Pogoń Szczecin,Poland,23.0,Poland,left,967,350000,33.61,4.75,86.02,3.91,5.89,7.63,55.88,50.0
F. Valdbjørn,HIK,Denmark III,23.0,Denmark,right,2626,0,32.5,7.88,78.23,3.63,4.01,7.85,58.62,28.0
S. Lager,Stocksund,Sweden III,23.0,Sweden,unknown,830,0,29.51,3.8,93.01,2.6,3.26,7.81,69.12,40.0
A. Herdonsson,Horsens,Denmark II,22.0,Sweden,right,1610,0,27.6,4.53,76.77,3.91,4.55,7.94,66.67,62.0
O. Hõim,Paide,Estonia,20.0,Estonia,right,1091,0,24.69,5.11,86.5,2.56,3.73,7.59,66.3,45.45
R. Šitjakovs,SK Super Nova,Latvia,21.0,Latvia,unknown,815,0,24.42,4.53,86.23,4.53,5.77,8.06,52.73,41.94
M. Andruszko,Kalisz,Poland III,20.0,Poland,,1871,0,24.03,4.95,84.71,4.18,5.04,8.56,54.73,34.29
B. Elliot,Karviná U19,Czech U19,19.0,Finland,,1130,0,23.47,3.9,78.98,4.14,5.29,8.36,65.43,42.5
K. Penkevics,Zlín,Czech,23.0,Latvia,right,427,75000,23.29,5.06,62.26,4.0,5.14,6.96,66.67,60.0
A. Antolin,Mura,Slovenia,23.0,Slovenia,left,976,400000,22.55,4.33,87.34,4.06,5.24,8.85,51.28,28.57
M. Vetkal,Dordrecht,Netherlands II,22.0,Estonia,right,2098,50000,22.36,6.22,79.55,4.2,5.24,7.81,56.34,31.58
R. Årup Jørgensen,Hørsholm-Usserød,Denmark IV,21.0,Denmark,,1557,0,22.04,5.43,79.79,3.82,4.77,9.25,57.05,37.5
J. Lindvall,Åtvidaberg,Sweden III,21.0,Sweden,right,501,0,21.57,6.65,84.73,3.77,4.47,5.39,38.1,50.0
F. Ambroz,Ljungskile,Sweden II,22.0,"Sweden, Croatia",right,889,0,20.98,8.4,84.57,2.94,4.42,6.28,41.1,12.5
M. Jensen,Brøndby,Denmark,21.0,Denmark,,731,0,19.66,6.65,82.01,3.08,4.12,7.76,46.58,50.0
M. Pawlusiński,Zagłębie Sosnowiec,Poland III,22.0,Poland,right,453,0,18.02,4.77,82.39,2.78,4.04,8.15,68.42,40.0
L. Turudija,Mura,Slovenia,21.0,Slovenia,right,1185,0,17.6,5.47,81.71,3.34,4.54,8.73,53.91,50.0
Nooa Laine,Selangor,Malaysia,23.0,"Finland, Malaysia",right,2051,200000,17.25,6.76,86.96,2.98,4.59,5.79,51.72,46.15
E. Berisha,Laholms FK,Sweden III,20.0,Sweden,unknown,509,0,16.14,3.54,79.03,3.89,4.85,8.31,66.67,28.57
S. Stuen,Stjørdals-Blink,Norway III,20.0,Norway,right,668,0,14.55,4.18,89.82,2.56,3.41,7.01,65.31,10.0
B. Baranowicz,Jastrzębie,Poland III,23.0,Poland,right,1551,200000,13.84,7.95,82.62,2.09,2.46,5.57,61.63,37.5
B. Mazurek,Jagiellonia Białystok,Poland,19.0,Poland,unknown,1534,0,13.63,4.87,80.17,3.34,5.43,7.57,57.52,40.82
M. Kelement,Harju JK,Estonia,22.0,Estonia,right,692,0,13.52,7.67,73.93,3.64,4.67,6.89,50.0,0.0
E. Gudelevičius,Siracusa,Italy III - Part III,21.0,Lithuania,right,1563,0,12.97,5.64,80.46,2.99,5.57,6.45,60.64,42.86
A. Claridge,Emmen,Netherlands II,19.0,Denmark,right,1547,0,12.33,5.0,82.71,2.91,3.83,7.5,55.46,68.75
K. Žebrauskas,Šiauliai,Lithuania,23.0,Lithuania,right,1169,275000,11.8,6.16,85.92,2.54,3.08,6.47,57.32,38.46
L. Kjellnäs,Helsingborg,Sweden II,21.0,Sweden,right,652,0,10.9,7.73,79.32,2.48,3.46,6.35,51.85,40.0
L. Shlimon,AO Egaleo,Greece II,23.0,"England, Sweden",right,577,225000,10.8,7.95,76.0,3.28,3.91,6.71,52.38,28.57
J. Pank Iversen,Frem,Denmark IV,22.0,Denmark,,1942,0,10.48,4.87,81.63,3.2,3.45,7.79,64.14,29.41
P. Einarson,Stjørdals-Blink,Norway III,23.0,Norway,,542,0,8.12,5.15,84.06,2.82,3.57,6.48,61.11,0.0
T. Baxter,Keflavík,Iceland,21.0,Iceland,,563,0,7.97,5.75,75.45,3.52,3.67,7.03,44.68,55.56
K. Grzelak,Chrobry Głogów,Poland II,18.0,Poland,right,757,0,7.73,4.04,80.42,3.21,4.53,8.56,60.0,0.0
O. Jarde,Stockholm Inter,Sweden III,18.0,Sweden,unknown,538,0,7.17,5.86,80.33,2.51,3.85,7.03,57.78,26.67
N. Viher,Maribor U19,Slovenia,18.0,Slovenia,unknown,2243,0,6.69,3.93,84.1,3.33,5.12,6.86,58.39,40.0
F. Lantz,Utsikten,Sweden III,19.0,Sweden,unknown,576,0,5.74,6.25,85.34,2.66,2.93,5.47,38.1,40.0
M. Butros,Arlanda,Sweden III,23.0,Sweden,right,497,0,5.5,5.43,74.45,1.99,2.29,6.7,66.67,38.46
E. Pettersen,Sandefjord II,Norway,19.0,Norway,,725,0,5.27,3.6,81.55,2.86,3.75,7.7,62.26,31.58
D. Navaratnam,Rana,Norway III,20.0,Norway,,592,0,5.13,3.04,83.67,3.8,4.36,6.84,50.0,50.0
D. Drachal,Jagiellonia Białystok,Poland,21.0,Poland,right,909,0,4.47,3.86,80.32,3.17,5.39,7.13,50.0,47.62
M. Friis-Christensen,Lyseng,Denmark IV,20.0,Denmark,,650,0,4.34,4.29,72.16,3.46,3.66,7.34,62.86,20.0
F. Jevsenak,Celje,Slovenia,21.0,Slovenia,,1566,0,3.97,5.29,88.07,1.61,2.73,5.23,54.55,25.0
M. Osipiak,Jastrzębie,Poland III,20.0,Poland,,882,0,3.1,5.0,82.54,2.96,3.82,6.73,54.55,16.67
E. Ibrahimbegovic,Örebro,Sweden II,18.0,Sweden,unknown,487,0,2.22,2.22,82.61,3.7,4.32,6.28,50.0,38.46
